layer,q_proj,k_proj,v_proj,o_proj,up_proj,gate_proj,down_proj
0,0.000994,0.001215,0.000031,0.000001,0.001310,0.002030,0.000169
1,0.003470,0.005833,0.000689,0.000278,0.001796,0.003295,0.000257
2,0.006263,0.011503,0.001549,0.000145,0.003738,0.006877,0.003852
3,0.008070,0.015621,0.003804,0.000310,0.004516,0.007617,0.002259
4,0.008091,0.010896,0.004956,0.000522,0.004265,0.006680,0.000546
5,0.008509,0.013694,0.006026,0.000459,0.005457,0.010725,0.000466
6,0.008322,0.015343,0.003911,0.000165,0.004388,0.006221,0.000602
7,0.009793,0.017731,0.006993,0.000796,0.005010,0.006217,0.000767
8,0.011107,0.012362,0.004509,0.000476,0.003605,0.004808,0.000624
9,0.031382,0.052417,0.011950,0.000462,0.003647,0.004288,0.000349
10,0.009067,0.010392,0.009230,0.000851,0.003428,0.004364,0.000334
11,0.027136,0.052483,0.017540,0.000583,0.003641,0.003943,0.000691
12,0.009080,0.013330,0.007717,0.000773,0.003503,0.004091,0.000435
13,0.017254,0.025816,0.009782,0.001028,0.004367,0.004323,0.000619
14,0.012873,0.014484,0.009981,0.000520,0.004341,0.004916,0.000792
15,0.011695,0.014496,0.012045,0.001155,0.005434,0.005718,0.001572
16,0.040827,0.050346,0.027880,0.001765,0.006485,0.008639,0.002315
17,0.013158,0.015069,0.013935,0.000806,0.006901,0.010844,0.001014
18,0.014245,0.016906,0.015655,0.000296,0.005892,0.007264,0.001253
19,0.015040,0.013372,0.016015,0.000583,0.009049,0.010390,0.003841
20,0.017428,0.013701,0.036555,0.003356,0.010074,0.011185,0.002376
21,0.019022,0.014756,0.056549,0.005288,0.009082,0.009276,0.006945
22,0.021493,0.020241,0.043698,0.005247,0.008336,0.008165,0.010110
23,0.019673,0.018112,0.031724,0.004616,0.009375,0.009686,0.030299
