Model,Method,ARC_Challenge,HellaSwag,MMLU,GSM8K
Qwen2.5-0.5B,fp16,32.51,52.18,47.66,35.25
Qwen2.5-0.5B,rtn,34.04,50.39,42.22,16.67
Qwen2.5-0.5B,gptq,30.97,50.46,43.90,20.67
Qwen2.5-0.5B,awq,29.95,49.55,43.22,10.33
Qwen2.5-0.5B,smoothquant,32.51,52.12,47.33,37.67
Qwen2.5-1.5B,fp16,45.14,67.73,59.71,63.00
Qwen2.5-1.5B,rtn,40.96,66.00,52.44,48.00
Qwen2.5-1.5B,gptq,41.38,66.58,56.91,49.00
Qwen2.5-1.5B,awq,42.83,65.45,56.49,45.33
Qwen2.5-1.5B,smoothquant,44.97,67.75,59.71,62.33
SmolLM-1.7B,fp16,47.53,71.43,48.79,30.00
SmolLM-1.7B,rtn,46.33,69.93,45.40,18.33
SmolLM-1.7B,gptq,46.59,70.01,46.59,23.33
SmolLM-1.7B,awq,45.31,69.47,44.72,17.33
SmolLM-1.7B,smoothquant,47.61,71.53,48.80,29.33
