Model,Method,mmlu,hellaswag,arc_challenge,gsm8k
Qwen2.5-0.5B,fp16,49.23,52.00,28.00,34.00
Qwen2.5-0.5B,rtn,43.82,54.00,36.00,13.00
Qwen2.5-0.5B,gptq,45.63,56.00,33.00,16.00
Qwen2.5-0.5B,awq,44.37,51.00,29.00,6.00
Qwen2.5-0.5B,smoothquant,48.88,51.00,28.00,35.00
Qwen2.5-1.5B,fp16,60.82,66.00,43.00,65.00
Qwen2.5-1.5B,rtn,53.72,54.00,37.00,45.00
Qwen2.5-1.5B,gptq,58.11,61.00,40.00,47.00
Qwen2.5-1.5B,awq,57.75,62.00,38.00,46.00
Qwen2.5-1.5B,smoothquant,60.75,66.00,40.00,65.00
SmolLM-1.7B,fp16,49.32,64.00,47.00,31.00
SmolLM-1.7B,rtn,46.37,63.00,46.00,17.00
SmolLM-1.7B,gptq,47.11,61.00,46.00,24.00
SmolLM-1.7B,awq,45.53,62.00,44.00,21.00
SmolLM-1.7B,smoothquant,49.18,64.00,43.00,29.00
